Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Bob Dandridge,/players/d/dandrbo01.html,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State
Antonio Daniels,/players/d/daniean01.html,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green
Erik Daniels,/players/d/danieer01.html,2005,2005,F,6-8,214,"April 1, 1982",Kentucky
Lloyd Daniels,/players/d/daniell01.html,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College
Marquis Daniels,/players/d/daniema01.html,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn
Mel Daniels,/players/d/danieme01.html,1968,1977,C,6-9,220,"July 20, 1944",New Mexico
Troy Daniels,/players/d/danietr01.html,2014,2020,G,6-4,200,"July 15, 1991",VCU
Sasha Danilović,/players/d/danilsa01.html,1996,1997,G,6-5,200,"February 26, 1970",
Adrian Dantley,/players/d/dantlad01.html,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame
Pete Darcey,/players/d/darcepe01.html,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State
Jimmy Darden,/players/d/dardeji01.html,1950,1950,G,6-1,170,"June 19, 1922",Denver
Ollie Darden,/players/d/dardeol01.html,1968,1970,F-C,6-7,235,"July 28, 1944",Michigan
Yinka Dare,/players/d/dareyi01.html,1995,1998,C,7-0,265,"October 10, 1972",George Washington
Jesse Dark,/players/d/darkje01.html,1975,1975,G,6-5,210,"September 2, 1951",VCU
Nate Darling,/players/d/darlina01.html,2021,2021,G,6-6,200,"August 30, 1998","UAB, University of Delaware"
Rick Darnell,/players/d/darneri01.html,1976,1976,C-F,6-10,215,"January 1, 1953",San Jose State
Jimmy Darrow,/players/d/darroji01.html,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green
Gigi Datome,/players/d/datomlu01.html,2014,2015,F,6-8,215,"November 27, 1987",
Brad Daugherty,/players/d/daughbr01.html,1987,1994,C,7-0,245,"October 19, 1965",UNC
Mack Daughtry,/players/d/daughma01.html,1971,1971,G,6-3,175,"July 20, 1946",Albany State University
Kornél Dávid,/players/d/davidko01.html,1999,2001,F,6-9,235,"October 22, 1971",
Jermareo Davidson,/players/d/davidje01.html,2008,2009,F,6-10,230,"November 15, 1984",Alabama
Bob Davies,/players/d/daviebo01.html,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall
Brandon Davies,/players/d/daviebr01.html,2014,2015,F,6-10,240,"July 25, 1991",BYU
Anthony Davis,/players/d/davisan02.html,2013,2022,F-C,6-10,253,"March 11, 1993",Kentucky
Antonio Davis,/players/d/davisan01.html,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso
Aubrey Davis,/players/d/davisau01.html,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University
Baron Davis,/players/d/davisba01.html,2000,2012,G,6-3,209,"April 13, 1979",UCLA
Ben Davis,/players/d/davisbe01.html,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona"
Bill Davis,/players/d/davisbi01.html,1947,1947,F,6-3,215,"October 3, 1920",Notre Dame
Bob Davis,/players/d/davisbo01.html,1973,1973,F,6-7,215,"April 2, 1950",Weber State
Brad Davis,/players/d/davisbr01.html,1978,1992,G,6-3,180,"December 17, 1955",Maryland
Brian Davis,/players/d/davisbr02.html,1994,1994,F-G,6-7,200,"June 21, 1970",Duke
Charles Davis,/players/d/davisch02.html,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt
Charlie Davis,/players/d/davisch01.html,1972,1974,G,6-2,160,"September 7, 1949",Wake Forest
Dale Davis,/players/d/davisda01.html,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson
Deyonta Davis,/players/d/davisde01.html,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State
Dwight Davis,/players/d/davisdw01.html,1973,1977,F,6-8,220,"October 28, 1949",Houston
Ed Davis,/players/d/davised01.html,2011,2022,F,6-9,218,"June 5, 1989",UNC
Emanual Davis,/players/d/davisem01.html,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University
Glen Davis,/players/d/davisgl01.html,2008,2015,F-C,6-9,289,"January 1, 1986",LSU
Harry Davis,/players/d/davisha01.html,1979,1980,F,6-7,220,"January 27, 1956",Florida State
Hubert Davis,/players/d/davishu01.html,1993,2004,G,6-5,183,"May 17, 1970",UNC
Jim Davis,/players/d/davisji01.html,1968,1975,C-F,6-9,225,"December 18, 1941",Colorado
Johnny Davis,/players/d/davisjo01.html,1977,1986,G,6-2,170,"October 21, 1955",Dayton
Josh Davis,/players/d/davisjo02.html,2004,2012,F,6-8,235,"August 10, 1980",Wyoming
Lee Davis,/players/d/davisle01.html,1969,1976,C-F,6-8,235,"October 11, 1945",NC Central
Mark Davis,/players/d/davisma01.html,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion
Mark Davis,/players/d/davisma01.html,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech"
Mark Davis,/players/d/davisma02.html,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion
Mark Davis,/players/d/davisma02.html,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech"
Mel Davis,/players/d/davisme01.html,1974,1977,F,6-6,220,"November 9, 1950",St. John's
Mickey Davis,/players/d/davismi02.html,1972,1977,F-G,6-7,195,"June 16, 1950",Duquesne
Mike Davis,/players/d/davismi01.html,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University
Mike Davis,/players/d/davismi01.html,1983,1983,F,6-10,230,"August 2, 1956",Maryland
Mike Davis,/players/d/davismi03.html,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University
Mike Davis,/players/d/davismi03.html,1983,1983,F,6-10,230,"August 2, 1956",Maryland
Monti Davis,/players/d/davismo01.html,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State
Paul Davis,/players/d/davispa01.html,2007,2010,C,6-11,270,"July 21, 1984",Michigan State
Ralph Davis,/players/d/davisra01.html,1961,1962,G,6-4,180,"September 7, 1938",Cincinnati
Red Davis,/players/d/davisre01.html,1956,1956,C,6-7,220,"April 22, 1932",St. John's
Ricky Davis,/players/d/davisri01.html,1999,2010,G,6-6,195,"September 23, 1979",Iowa
Ron Davis,/players/d/davisro01.html,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State
Terence Davis,/players/d/daviste02.html,2020,2022,G,6-4,201,"May 16, 1997",Ole Miss
Terry Davis,/players/d/daviste01.html,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University
Tyler Davis,/players/d/davisty01.html,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M
Walt Davis,/players/d/daviswa01.html,1954,1958,C-F,6-8,205,"January 5, 1931",Texas A&M
Walter Davis,/players/d/daviswa03.html,1978,1992,G-F,6-6,193,"September 9, 1954",UNC
Warren Davis,/players/d/daviswa02.html,1968,1973,F-C,6-6,212,"June 30, 1943",North Carolina A&T
Willie Davis,/players/d/daviswi01.html,1971,1971,C,6-8,234,"August 9, 1945",University of North Texas
Andre Dawkins,/players/d/dawkian01.html,2015,2015,G,6-5,215,"September 19, 1991",Duke
Darryl Dawkins,/players/d/dawkida01.html,1976,1989,C,6-11,251,"January 11, 1957",
Johnny Dawkins,/players/d/dawkijo01.html,1987,1995,G,6-2,165,"September 28, 1963",Duke
Paul Dawkins,/players/d/dawkipa01.html,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois
Branden Dawson,/players/d/dawsobr01.html,2016,2016,F,6-6,225,"February 1, 1993",Michigan State
Eric Dawson,/players/d/dawsoer01.html,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
Jimmy Dawson,/players/d/dawsoji01.html,1968,1968,G,6-0,175,"April 18, 1945",Illinois
Tony Dawson,/players/d/dawsoto01.html,1991,1995,F,6-7,215,"August 25, 1967",Florida State
Todd Day,/players/d/dayto01.html,1993,2001,G-F,6-6,188,"January 7, 1970",Arkansas
Austin Daye,/players/d/dayeau01.html,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga
Darren Daye,/players/d/dayeda01.html,1984,1988,F-G,6-8,220,"November 30, 1960",UCLA
Nando De Colo,/players/d/decolna01.html,2013,2014,G,6-5,200,"June 23, 1987",
Billy DeAngelis,/players/d/deangbi01.html,1971,1971,G,6-1,180,"October 5, 1946",Saint Joseph's
Dave DeBusschere,/players/d/debusda01.html,1963,1974,F-G,6-6,220,"October 16, 1940",Detroit Mercy
Andrew DeClercq,/players/d/declean01.html,1996,2005,F-C,6-10,230,"February 1, 1973",Florida
Javin DeLaurier,/players/d/delauja01.html,2022,2022,F,6-10,237,"April 7, 1998",Duke
Nate DeLong,/players/d/delonna01.html,1952,1952,C,6-6,220,"January 5, 1926",Wisconsin-River Falls
Joe DePre,/players/d/deprejo01.html,1971,1973,G,6-3,185,"December 19, 1947",St. John's
DeMar DeRozan,/players/d/derozde01.html,2010,2022,G-F,6-6,220,"August 7, 1989",USC
Hank DeZonie,/players/d/dezonha01.html,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University
Greg Deane,/players/d/deanegr01.html,1980,1980,G,6-4,190,"December 6, 1957",Utah
Gabriel Deck,/players/d/deckga01.html,2021,2022,F,6-8,232,"February 8, 1995",
Dewayne Dedmon,/players/d/dedmode01.html,2014,2022,C,7-0,245,"August 12, 1989",USC
Don Dee,/players/d/deedo01.html,1969,1969,F,6-8,210,"August 9, 1943",Saint Mary of the Plains College
Archie Dees,/players/d/deesar01.html,1959,1962,F-C,6-8,205,"February 22, 1936",Indiana
Terry Dehere,/players/d/deherte01.html,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall
Red Dehnert,/players/d/dehnere01.html,1947,1947,F,6-3,175,"January 24, 1924",Columbia University
Bryce Dejean-Jones,/players/d/dejeabr01.html,2016,2016,G,6-6,209,"August 21, 1992","USC, UNLV, Iowa State"
Sam Dekker,/players/d/dekkesa01.html,2016,2022,F,6-9,230,"May 6, 1994",Wisconsin
Vinny Del Negro,/players/d/delnevi01.html,1989,2002,G,6-4,185,"August 9, 1966",NC State
Malcolm Delaney,/players/d/delanma01.html,2017,2018,G,6-3,190,"March 11, 1989",Virginia Tech
Bison Dele,/players/d/delebi01.html,1992,1999,F-C,6-9,235,"April 6, 1969","Maryland, Arizona"
Carlos Delfino,/players/d/delfica01.html,2005,2013,G,6-6,230,"August 29, 1982",
Ángel Delgado,/players/d/delgaan01.html,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall
Tony Delk,/players/d/delkto01.html,1997,2006,G,6-1,189,"January 28, 1974",Kentucky
Matthew Dellavedova,/players/d/dellama01.html,2014,2021,G,6-3,200,"September 8, 1990",Saint Mary's
Fennis Dembo,/players/d/dembofe01.html,1989,1989,F,6-5,215,"January 24, 1966",Wyoming
Larry Demic,/players/d/demicla01.html,1980,1982,F-C,6-9,225,"June 27, 1957",Arizona
Dell Demps,/players/d/dempsde01.html,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific
George Dempsey,/players/d/dempsge01.html,1955,1959,G,6-2,190,"July 19, 1929",King's College
Luol Deng,/players/d/denglu01.html,2005,2019,F,6-9,237,"April 16, 1985",Duke
Kenny Dennard,/players/d/dennake01.html,1982,1984,F,6-8,220,"October 18, 1958",Duke
Blaine Denning,/players/d/dennibl01.html,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University
Justin Dentmon,/players/d/dentmju01.html,2012,2013,G,5-11,185,"September 5, 1985",Washington
Randy Denton,/players/d/dentora01.html,1972,1977,C,6-10,240,"February 18, 1949",Duke
Rod Derline,/players/d/derliro01.html,1975,1976,G,6-0,175,"March 11, 1952",Seattle University
Marcus Derrickson,/players/d/derrima01.html,2019,2019,F,6-7,249,"February 1, 1996",Georgetown
Dave Deutsch,/players/d/deutsda01.html,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester
Corky Devlin,/players/d/devlico01.html,1956,1958,G,6-5,195,"December 21, 1931",George Washington
Ernie DiGregorio,/players/d/digreer01.html,1974,1978,G,6-0,180,"January 15, 1951",Providence
Donte DiVincenzo,/players/d/divindo01.html,2019,2022,G,6-4,203,"January 31, 1997",Villanova
Mamadi Diakite,/players/d/diakima01.html,2021,2022,F,6-9,228,"January 21, 1997",Virginia
Derrick Dial,/players/d/dialde01.html,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan
Cheick Diallo,/players/d/diallch01.html,2017,2022,F,6-8,219,"September 13, 1996",Kansas
Hamidou Diallo,/players/d/diallha01.html,2019,2022,G,6-5,202,"July 31, 1998",Kentucky
Boris Diaw,/players/d/diawbo01.html,2004,2017,F-C,6-8,250,"April 16, 1982",
Yakhouba Diawara,/players/d/diawaya01.html,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine
Guillermo Díaz,/players/d/diazgu01.html,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL)
Dan Dickau,/players/d/dickada01.html,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga"
Kaniel Dickens,/players/d/dickeka01.html,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho"
Henry Dickerson,/players/d/dickehe01.html,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston
Michael Dickerson,/players/d/dickemi01.html,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona
Clyde Dickey,/players/d/dickecl01.html,1975,1975,G,6-3,185,"December 14, 1951",Boise State
Derrek Dickey,/players/d/dickede01.html,1974,1978,F,6-7,218,"March 20, 1951",Cincinnati
Dick Dickey,/players/d/dickedi01.html,1952,1952,G,6-1,175,"October 26, 1926",NC State
John Dickson,/players/d/dicksjo01.html,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University
Travis Diener,/players/d/dienetr01.html,2006,2010,G,6-1,175,"March 1, 1982",Marquette
Gorgui Dieng,/players/d/dienggo01.html,2014,2022,C,6-10,252,"January 18, 1990",Louisville
Connie Dierking,/players/d/dierkco01.html,1959,1971,C-F,6-9,222,"October 2, 1936",Cincinnati
Coby Dietrick,/players/d/dietrco01.html,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State
Craig Dill,/players/d/dillcr01.html,1968,1968,C,6-11,215,"December 17, 1944",Michigan
Dwaine Dillard,/players/d/dilladw01.html,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan
Mickey Dillard,/players/d/dillami01.html,1982,1982,G,6-3,170,"October 15, 1958",Florida State
Bob Dille,/players/d/dillebo01.html,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso
Hook Dillon,/players/d/dilloho01.html,1950,1950,F,6-3,180,"January 8, 1924",UNC
Byron Dinkins,/players/d/dinkiby01.html,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte
Jackie Dinkins,/players/d/dinkija01.html,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College
Harry Dinnel,/players/d/dinneha01.html,1968,1968,F-G,6-4,200,"October 9, 1940",Pepperdine
Bill Dinwiddie,/players/d/dinwibi01.html,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University
Spencer Dinwiddie,/players/d/dinwisp01.html,2015,2022,G,6-5,215,"April 6, 1993",Colorado
Ike Diogu,/players/d/dioguik01.html,2006,2012,F,6-8,250,"September 11, 1983",Arizona State
DeSagana Diop,/players/d/diopde01.html,2002,2013,C,7-0,300,"January 30, 1982",
Terry Dischinger,/players/d/dischte01.html,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue
Fred Diute,/players/d/diutefr01.html,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure
Vlade Divac,/players/d/divacvl01.html,1990,2005,C,7-1,243,"February 3, 1968",
Juan Dixon,/players/d/dixonju01.html,2003,2009,G,6-3,164,"October 9, 1978",Maryland
Earl Dodd,/players/d/doddea01.html,1950,1950,F,6-5,175,"November 1, 1924",Truman State University
Michael Doleac,/players/d/doleami01.html,1999,2008,C,6-11,262,"June 15, 1977",Utah
Joe Dolhon,/players/d/dolhojo01.html,1950,1951,G,6-0,175,"July 9, 1927",NYU
Bob Doll,/players/d/dollbo01.html,1947,1950,F-C,6-5,195,"August 10, 1919",Colorado
James Donaldson,/players/d/donalja01.html,1981,1995,C,7-2,275,"August 16, 1957",Washington State
Luka Dončić,/players/d/doncilu01.html,2019,2022,G-F,6-7,230,"February 28, 1999",
Bob Donham,/players/d/donhabo01.html,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State
Billy Donovan,/players/d/donovbi01.html,1988,1988,G,5-11,171,"May 30, 1965",Providence
Harry Donovan,/players/d/donovha01.html,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College
Keyon Dooling,/players/d/doolike01.html,2001,2013,G,6-3,196,"May 8, 1980",Missouri
Aleksandar Djordjevic,/players/d/djordal01.html,1997,1997,G,6-2,198,"August 26, 1967",
Jacky Dorsey,/players/d/dorseja01.html,1978,1981,F,6-7,230,"December 18, 1954",Georgia
Joey Dorsey,/players/d/dorsejo01.html,2009,2015,F,6-8,268,"December 16, 1983",Memphis
Ron Dorsey,/players/d/dorsero01.html,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State
Tyler Dorsey,/players/d/dorsety01.html,2018,2019,G,6-5,183,"February 18, 1996",Oregon
Luguentz Dort,/players/d/dortlu01.html,2020,2022,G,6-3,215,"April 19, 1999",Arizona State
Ayo Dosunmu,/players/d/dosunay01.html,2022,2022,G,6-5,200,"January 17, 2000",Illinois
Damyean Dotson,/players/d/dotsoda01.html,2018,2022,G,6-5,210,"May 6, 1994","Oregon, Houston"
Devon Dotson,/players/d/dotsode01.html,2021,2022,G,6-2,185,"August 2, 1999",Kansas
Quincy Douby,/players/d/doubyqu01.html,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
Bruce Douglas,/players/d/douglbr01.html,1987,1987,G,6-3,195,"April 9, 1964",Illinois
John Douglas,/players/d/dougljo01.html,1982,1983,G,6-2,170,"June 12, 1956",Kansas
Leon Douglas,/players/d/douglle01.html,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama
Sherman Douglas,/players/d/douglsh01.html,1990,2001,G,6-0,180,"September 15, 1966",Syracuse
Toney Douglas,/players/d/douglto01.html,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State"
Chris Douglas-Roberts,/players/d/douglch01.html,2009,2015,G,6-7,200,"January 8, 1987",Memphis
Sekou Doumbouya,/players/d/doumbse01.html,2020,2022,F,6-8,230,"December 23, 2000",
Sonny Dove,/players/d/doveso01.html,1968,1972,F,6-7,198,"August 16, 1945",St. John's
Jerry Dover,/players/d/doverje01.html,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College
Zabian Dowdell,/players/d/dowdeza01.html,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech
Bill Downey,/players/d/downebi01.html,1948,1948,C,6-6,210,"November 11, 1923",Marquette
Steve Downing,/players/d/downist01.html,1974,1975,C,6-8,225,"September 9, 1950",Indiana
Jeff Dowtin,/players/d/dowtije01.html,2022,2022,G,6-3,185,"May 10, 1997",Rhode Island
Danny Doyle,/players/d/doyleda01.html,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College
Milton Doyle,/players/d/doylemi01.html,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago
PJ Dozier,/players/d/doziepj01.html,2018,2022,G,6-6,205,"October 25, 1996",South Carolina
Terry Dozier,/players/d/doziete01.html,1990,1990,F,6-9,210,"June 29, 1966",South Carolina
Goran Dragić,/players/d/dragigo01.html,2009,2022,G,6-3,190,"May 6, 1986",
Zoran Dragić,/players/d/dragizo01.html,2015,2015,G-F,6-5,200,"June 22, 1989",
Greg Dreiling,/players/d/dreilgr01.html,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas"
Bryce Drew,/players/d/drewbr01.html,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso
John Drew,/players/d/drewjo01.html,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
Larry Drew,/players/d/drewla01.html,1981,1991,G,6-1,170,"April 2, 1958",Missouri
Larry Drew II,/players/d/drewla02.html,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA"
Clyde Drexler,/players/d/drexlcl01.html,1984,1998,G,6-7,210,"June 22, 1962",Houston
Nate Driggers,/players/d/driggna01.html,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
Terry Driscoll,/players/d/driscte01.html,1971,1975,F,6-7,215,"August 28, 1947",Boston College
Predrag Drobnjak,/players/d/drobnpr01.html,2002,2005,C,6-11,270,"October 27, 1975",
Ralph Drollinger,/players/d/drollra01.html,1981,1981,C,7-2,250,"April 20, 1954",UCLA
Andre Drummond,/players/d/drumman01.html,2013,2022,C,6-10,279,"August 10, 1993",UConn
Dennis DuVal,/players/d/duvalde01.html,1975,1976,G,6-3,175,"March 31, 1952",Syracuse
Chris Duarte,/players/d/duartch01.html,2022,2022,G,6-6,190,"June 13, 1997",Oregon
Dick Duckett,/players/d/duckedi01.html,1958,1958,G,6-1,185,"March 25, 1933",St. John's
Kevin Duckworth,/players/d/duckwke01.html,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
Charles Dudley,/players/d/dudlech01.html,1973,1979,G,6-2,180,"March 5, 1950",Washington
Chris Dudley,/players/d/dudlech02.html,1988,2003,C,6-11,235,"February 22, 1965",Yale
Jared Dudley,/players/d/dudleja01.html,2008,2021,F-G,6-6,237,"July 10, 1985",Boston College
Terry Duerod,/players/d/duerote01.html,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy
Bob Duffy,/players/d/duffybo01.html,1947,1947,F,6-4,175,"July 5, 1922",Tulane
Bob Duffy,/players/d/duffybo01.html,1963,1965,G,6-3,185,"September 26, 1940",Colgate
Bob Duffy,/players/d/duffybo02.html,1947,1947,F,6-4,175,"July 5, 1922",Tulane
Bob Duffy,/players/d/duffybo02.html,1963,1965,G,6-3,185,"September 26, 1940",Colgate
Chris Duhon,/players/d/duhonch01.html,2005,2013,G,6-1,185,"August 31, 1982",Duke
Duje Dukan,/players/d/dukandu01.html,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin
David Duke Jr.,/players/d/dukeda01.html,2022,2022,G,6-5,205,"October 13, 1999",Providence
Walter Dukes,/players/d/dukeswa01.html,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall
Joe Dumars,/players/d/dumarjo01.html,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
Rich Dumas,/players/d/dumasri01.html,1969,1969,G,6-3,170,"April 21, 1944",Northeastern State University
Richard Dumas,/players/d/dumasri02.html,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State
Tony Dumas,/players/d/dumasto01.html,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City
Andy Duncan,/players/d/duncaan01.html,1949,1951,F-C,6-6,195,"April 17, 1922",William & Mary
Tim Duncan,/players/d/duncati01.html,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest
Mike Dunleavy,/players/d/dunlemi01.html,1977,1990,G,6-3,180,"March 21, 1954",South Carolina
Mike Dunleavy,/players/d/dunlemi01.html,2003,2017,F-G,6-9,230,"September 15, 1980",Duke
Mike Dunleavy,/players/d/dunlemi02.html,1977,1990,G,6-3,180,"March 21, 1954",South Carolina
Mike Dunleavy,/players/d/dunlemi02.html,2003,2017,F-G,6-9,230,"September 15, 1980",Duke
Kris Dunn,/players/d/dunnkr01.html,2017,2021,G,6-3,205,"March 18, 1994",Providence
Pat Dunn,/players/d/dunnpa01.html,1958,1958,G,6-2,170,"March 17, 1931",Utah State University
T.R. Dunn,/players/d/dunntr01.html,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama
Ronald Dupree,/players/d/duprero01.html,2004,2011,F,6-7,209,"January 26, 1981",LSU
Kevin Durant,/players/d/duranke01.html,2008,2022,F-G,6-10,240,"September 29, 1988",Texas
John Duren,/players/d/durenjo01.html,1981,1983,G,6-3,195,"October 30, 1958",Georgetown
Jarrett Durham,/players/d/durhaja01.html,1972,1972,F,6-5,188,"August 22, 1949",Duquesne
Pat Durham,/players/d/durhapa01.html,1993,1995,F,6-7,210,"March 10, 1967",Colorado State
Devin Durrant,/players/d/durrade01.html,1985,1986,F,6-7,200,"October 20, 1960",BYU
Ken Durrett,/players/d/durreke01.html,1972,1975,F,6-7,190,"December 8, 1948",La Salle
Trevon Duval,/players/d/duvaltr01.html,2019,2019,G,6-2,189,"August 3, 1998",Duke
Jack Dwan,/players/d/dwanja01.html,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago
Craig Dykema,/players/d/dykemcr01.html,1982,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach
Gene Dyker,/players/d/dykerge01.html,1954,1954,F,6-6,225,"February 17, 1930",DePaul
Jerome Dyson,/players/d/dysonje01.html,2012,2012,G,6-3,180,"May 1, 1987",UConn
Ledell Eackles,/players/e/eacklle01.html,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans
Jim Eakins,/players/e/eakinji01.html,1969,1978,C,6-11,215,"May 24, 1946",BYU
Acie Earl,/players/e/earlac01.html,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa
Ed Earle,/players/e/earleed01.html,1954,1954,F,6-3,190,"April 28, 1927",Loyola Chicago
Cleanthony Early,/players/e/earlycl01.html,2015,2016,F,6-8,210,"April 17, 1991",Wichita State
Penny Early,/players/e/earlype01.html,1969,1969,G,5-3,114,"May 30, 1943",
Mark Eaton,/players/e/eatonma01.html,1983,1993,C,7-4,275,"January 24, 1957",UCLA
Jerry Eaves,/players/e/eavesje01.html,1983,1987,G,6-4,180,"February 8, 1959",Louisville
Devin Ebanks,/players/e/ebankde01.html,2011,2013,F,6-9,215,"October 28, 1989",West Virginia
Bill Ebben,/players/e/ebbenbi01.html,1958,1958,G,6-4,190,"October 7, 1935",Detroit Mercy
Al Eberhard,/players/e/eberhal01.html,1975,1978,F,6-6,225,"May 10, 1952",Missouri
Ndudi Ebi,/players/e/ebind01.html,2004,2005,F,6-9,200,"June 18, 1984",
Roy Ebron,/players/e/ebronro01.html,1974,1974,C,6-9,220,"August 31, 1951",Louisiana
Jaime Echenique,/players/e/echenja01.html,2022,2022,C,6-11,258,"April 27, 1997","Trinity Valley CC, Wichita State"
Jarell Eddie,/players/e/eddieja01.html,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech
Patrick Eddie,/players/e/eddiepa01.html,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss"
Dike Eddleman,/players/e/eddledi01.html,1950,1953,F-G,6-3,189,"December 27, 1922",Illinois
Kenton Edelin,/players/e/edelike01.html,1985,1985,F,6-8,205,"May 24, 1962",Virginia
Charles Edge,/players/e/edgech01.html,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College
Bobby Edmonds,/players/e/edmonbo01.html,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State
Keith Edmonson,/players/e/edmonke01.html,1983,1984,G,6-5,195,"September 28, 1960",Purdue
Tyus Edney,/players/e/edneyty01.html,1996,2001,G,5-10,152,"February 14, 1973",UCLA
Anthony Edwards,/players/e/edwaran01.html,2021,2022,G,6-4,225,"August 5, 2001",Georgia
Bill Edwards,/players/e/edwarbi01.html,1994,1994,F,6-8,215,"September 22, 1971",Wright State University
Blue Edwards,/players/e/edwarbl01.html,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University
Carsen Edwards,/players/e/edwarca01.html,2020,2021,G,5-11,200,"March 12, 1998",Purdue
Corsley Edwards,/players/e/edwarco01.html,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University
Doug Edwards,/players/e/edwardo01.html,1994,1996,F,6-7,220,"January 21, 1971",Florida State
Franklin Edwards,/players/e/edwarfr01.html,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University
